line,key,role,context_status,source_status,overall_status,context_hits,source_hits,manuscript_context,source_title
17,Redigolo2012LorentzViolatingSUSY,multi-speed Lorentz-violating sector boundary,PASS,PASS,PASS,different limiting speed,lorentz-violating; speed of light,The idea that different sectors may carry different limiting speeds is not new; it appears in Lorentz-violating field-theory and superluminal-particle discussions [@Redigolo2012LorentzViolatingSUSY; @ChashchinaSilagadze2012LightSpeedBarrier].,On Lorentz-Violating Supersymmetric Quantum Field Theories
17,ChashchinaSilagadze2012LightSpeedBarrier,superluminal particle / critical-speed boundary,PASS,PASS,PASS,superluminal; different limiting speed,light speed; superluminal,The idea that different sectors may carry different limiting speeds is not new; it appears in Lorentz-violating field-theory and superluminal-particle discussions [@Redigolo2012LorentzViolatingSUSY; @ChashchinaSilagadze2012LightSpeedBarrier].,Breaking the light speed barrier
17,ColladayKostelecky1998SME,SME Lorentz-violation framework,PASS,PASS,PASS,standard-model extension; sme; lorentz,lorentz; standard model,Local visible-sector Lorentz violation is already systematically parameterized and tightly constrained by the Standard-Model Extension (SME) [@ColladayKostelecky1998SME; @KosteleckyRussell2011DataTablesSME].,Lorentz-Violating Extension of the Standard Model
17,KosteleckyRussell2011DataTablesSME,SME constraint tables,PASS,PASS,PASS,standard-model extension; sme,data tables; lorentz; cpt,Local visible-sector Lorentz violation is already systematically parameterized and tightly constrained by the Standard-Model Extension (SME) [@ColladayKostelecky1998SME; @KosteleckyRussell2011DataTablesSME].,Data Tables for Lorentz and CPT Violation
17,Bekenstein1993DisformalGeometry,disformal metric boundary,PASS,PASS,PASS,disformal; metric,physical; gravitational; geometry,Disformal metrics and preferred timelike fields have a long history [@Bekenstein1993DisformalGeometry; @Jacobson2008EinsteinAetherStatus].,The Relation between Physical and Gravitational Geometry
17,Jacobson2008EinsteinAetherStatus,Einstein-aether boundary,PASS,PASS,PASS,aether; preferred; timelike,einstein-aether; gravity,Disformal metrics and preferred timelike fields have a long history [@Bekenstein1993DisformalGeometry; @Jacobson2008EinsteinAetherStatus].,Einstein-aether gravity: a status report
17,Glashow1998PhotonVelocityOscillations,photon velocity-oscillation boundary,PASS,PASS,PASS,photon; velocity oscillation,photon; velocity; oscillations,Photon velocity oscillations and active-sterile altered-dispersion models already cover important portal phenomenology [@Glashow1998PhotonVelocityOscillations; @DeAngelisPain2002PhotonVelocityOscillations; @KosteleckyMewes2004Neutrinos; @PaesPakvasaWeiler2005ShortcutSterile; @HollenbergPaes2009ADRResonance; @Barenboim2019SterileADRRevisited].,Cosmological Searches for Photon Velocity Oscillations
17,DeAngelisPain2002PhotonVelocityOscillations,photon velocity-oscillation limits,PASS,PASS,PASS,photon; velocity oscillation,photon; velocity; oscillations,Photon velocity oscillations and active-sterile altered-dispersion models already cover important portal phenomenology [@Glashow1998PhotonVelocityOscillations; @DeAngelisPain2002PhotonVelocityOscillations; @KosteleckyMewes2004Neutrinos; @PaesPakvasaWeiler2005ShortcutSterile; @HollenbergPaes2009ADRResonance; @Barenboim2019SterileADRRevisited].,Improved limits on photon velocity oscillations
17,KosteleckyMewes2004Neutrinos,SME neutrino Lorentz/CPT boundary,PASS,PASS,PASS,neutrino,lorentz; cpt; neutrinos,Photon velocity oscillations and active-sterile altered-dispersion models already cover important portal phenomenology [@Glashow1998PhotonVelocityOscillations; @DeAngelisPain2002PhotonVelocityOscillations; @KosteleckyMewes2004Neutrinos; @PaesPakvasaWeiler2005ShortcutSterile; @HollenbergPaes2009ADRResonance; @Barenboim2019SterileADRRevisited].,Lorentz and CPT Violation in Neutrinos
17,PaesPakvasaWeiler2005ShortcutSterile,sterile active shortcut boundary,PASS,PASS,PASS,sterile; shortcut,sterile; active; shortcut,Photon velocity oscillations and active-sterile altered-dispersion models already cover important portal phenomenology [@Glashow1998PhotonVelocityOscillations; @DeAngelisPain2002PhotonVelocityOscillations; @KosteleckyMewes2004Neutrinos; @PaesPakvasaWeiler2005ShortcutSterile; @HollenbergPaes2009ADRResonance; @Barenboim2019SterileADRRevisited].,Sterile-active neutrino oscillations and shortcuts in the extra dimension
17,HollenbergPaes2009ADRResonance,altered-dispersion sterile resonance boundary,PASS,PASS,PASS,altered-dispersion; sterile,active-sterile; altered dispersion; resonant,Photon velocity oscillations and active-sterile altered-dispersion models already cover important portal phenomenology [@Glashow1998PhotonVelocityOscillations; @DeAngelisPain2002PhotonVelocityOscillations; @KosteleckyMewes2004Neutrinos; @PaesPakvasaWeiler2005ShortcutSterile; @HollenbergPaes2009ADRResonance; @Barenboim2019SterileADRRevisited].,Resonant active-sterile neutrino mixing in the presence of matter potentials and altered dispersion relations
17,Barenboim2019SterileADRRevisited,sterile altered-dispersion boundary,PASS,PASS,PASS,altered-dispersion; sterile,sterile; altered dispersion,Photon velocity oscillations and active-sterile altered-dispersion models already cover important portal phenomenology [@Glashow1998PhotonVelocityOscillations; @DeAngelisPain2002PhotonVelocityOscillations; @KosteleckyMewes2004Neutrinos; @PaesPakvasaWeiler2005ShortcutSterile; @HollenbergPaes2009ADRResonance; @Barenboim2019SterileADRRevisited].,Sterile neutrinos with altered dispersion relations revisited
205,Bekenstein1993DisformalGeometry,disformal metric boundary,PASS,PASS,PASS,disformal,physical; gravitational; geometry,"The background \(u^\mu\) is a controlled escape hatch, not a free lunch; it places the model near disformal, SME, and Einstein-aether boundaries [@Bekenstein1993DisformalGeometry; @Jacobson2008EinsteinAetherStatus].",The Relation between Physical and Gravitational Geometry
205,Jacobson2008EinsteinAetherStatus,Einstein-aether boundary,PASS,PASS,PASS,aether,einstein-aether; gravity,"The background \(u^\mu\) is a controlled escape hatch, not a free lunch; it places the model near disformal, SME, and Einstein-aether boundaries [@Bekenstein1993DisformalGeometry; @Jacobson2008EinsteinAetherStatus].",Einstein-aether gravity: a status report
268,AmelinoCamelia2011RelativeLocality,relative locality / deformed momentum-space boundary,PASS,PASS,PASS,relative locality; momentum-space; boost kinematics,relative locality,| Deformed momentum-space relativity | Ordinary locality/composition | Modified conservation/boost kinematics | Relative locality / DSR [@AmelinoCamelia2011RelativeLocality] |,The principle of relative locality
269,HassanRosen2011Bimetric,ghost-free bimetric boundary,PASS,PASS,PASS,bimetric; ghost; spin-2; multimetric,bimetric; ghost-free; massive gravity,"| Dynamical multimetric gravity | Single visible metric | Spin-2 mixing, GW propagation | Ghost-free bimetric, GW170817 [@HassanRosen2011Bimetric; @HassanRosen2011Secondary; @LIGO2017GW170817GRB] |",Bimetric Gravity from Ghost-free Massive Gravity
269,HassanRosen2011Secondary,bimetric ghost constraint boundary,PASS,PASS,PASS,bimetric; ghost; spin-2; multimetric,secondary constraint; ghost; bimetric,"| Dynamical multimetric gravity | Single visible metric | Spin-2 mixing, GW propagation | Ghost-free bimetric, GW170817 [@HassanRosen2011Bimetric; @HassanRosen2011Secondary; @LIGO2017GW170817GRB] |",Confirmation of the Secondary Constraint and Absence of Ghost in Massive Gravity and Bimetric Gravity
269,LIGO2017GW170817GRB,GW170817 multimessenger speed boundary,PASS,PASS,PASS,gw170817,gw170817; grb 170817a; gravitational waves,"| Dynamical multimetric gravity | Single visible metric | Spin-2 mixing, GW propagation | Ghost-free bimetric, GW170817 [@HassanRosen2011Bimetric; @HassanRosen2011Secondary; @LIGO2017GW170817GRB] |",Gravitational Waves and Gamma-rays from a Binary Neutron Star Merger: GW170817 and GRB 170817A
469,Redigolo2012LorentzViolatingSUSY,multi-speed Lorentz-violating sector boundary,PASS,PASS,PASS,different limiting speed,lorentz-violating; speed of light,"For example, Lorentz-violating supersymmetric field theories can contain sectors with different limiting speeds, and broader superluminal-particle discussions have explored particles whose critical speed differs from the visible speed of light [@Redigolo2012LorentzViolatingSUSY; @ChashchinaSilagadze2012LightSpeedBarrier].",On Lorentz-Violating Supersymmetric Quantum Field Theories
469,ChashchinaSilagadze2012LightSpeedBarrier,superluminal particle / critical-speed boundary,PASS,PASS,PASS,superluminal; critical speed; different limiting speed,light speed; superluminal,"For example, Lorentz-violating supersymmetric field theories can contain sectors with different limiting speeds, and broader superluminal-particle discussions have explored particles whose critical speed differs from the visible speed of light [@Redigolo2012LorentzViolatingSUSY; @ChashchinaSilagadze2012LightSpeedBarrier].",Breaking the light speed barrier
