run_at_utc,query_label,query_text,query_purpose,database,id,title,year,published,authors,venue,url,citation_count,collision_level,collision_reasons,abstract
2026-06-30T13:25:46+00:00,exact_title_collision,"""C-D Observability Hierarchy"" ""Multi-Sector Speed Constants""",direct collision with the current title/framing,crossref,10.31235/osf.io/8r7q3,An Interactional Space of Permanent Observability: WeChat and Reinforcing the Power Hierarchy in Chinese Workplaces,2020,2020,Xiaoli Tian,,https://doi.org/10.31235/osf.io/8r7q3,,low,observability,"<p>Does digital media empower or disempower workers? In existing studies on how information and communication technologies influence work, researchers investigate work-life boundaries and how workers use digital media to obtain more control. This article focuses on how digital media influences daily interpersonal interactions in the workplace: how does social media use influence workplace hierarchies and power dynamics? Based on 56 in-depth interviews with WeChat users in Chinese workplaces, I find that lower-ranked individuals were compelled to constantly express loyalty and appreciation, and publicly submit to their superordinates by clicking “like” or commenting on their WeChat posts. They also had to provide immediate and polite responses to their superordinates in WeChat group chats after work hours or to non-work-related issues. The distinctive features of online interaction—lack of physical interaction spaces, recordability of past conversations, and n-adic nature of online disclosures—created an environment where past encounters were omnipresent and accessible, and placed workers under permanent observability. This social interaction environment leaves little room for forms of resistance and, in response, employees retreat into cynical performances of submission. This study finds that, under certain circumstances, WeChat use actually intensifies workplace hierarchies and power dynamics, thereby sharpening social inequality, rather than eliminating it.</p>"
2026-06-30T13:25:46+00:00,exact_title_collision,"""C-D Observability Hierarchy"" ""Multi-Sector Speed Constants""",direct collision with the current title/framing,crossref,10.2139/ssrn.4704876,Decoding 'China Speed': The Governmental Influence in Nev Sector Growth Using the Multi-Level Perspective Framework,2024,2024,Cheng-ting Tsou,,https://doi.org/10.2139/ssrn.4704876,,none,,
2026-06-30T13:25:46+00:00,exact_title_collision,"""C-D Observability Hierarchy"" ""Multi-Sector Speed Constants""",direct collision with the current title/framing,crossref,10.5772/intechopen.1001095,Multi-criteria decision-making in the transport sector,2023,2023,Federico de Andreis; Enza Curcio; Federico Maria Sottoriva; Ubaldo Comite,"Analytic Hierarchy Process - Models, Methods, Concepts, and Applications [Working Title]",https://doi.org/10.5772/intechopen.1001095,,none,,"<jats:p>The transportation sector appears to be among the most highly competitive, in a continuous search for effectiveness and efficiency.
In the logic of decision-making processes, to meet the competitive needs of the sector, optimization, or the selection of the best element, with respect to some criterion, from a set of available alternatives, appears central.
Business choices seek to achieve the optimum, i.e., the best or most favourable condition, or the maximum amount or degree possible under a specific set of comparable circumstances.
In addition to traditional decision making, there is the technique of linear programming, which is an optimization problem in which the objective function is a linear function subject to linear constraints, which may be equalities and/or inequalities.
Linear programming problems have a strong practical interest because many real-life problems can be modelled in terms of linear programming, since the approach to the decisions made is approximately linear.
For this type of problem, algorithms are also capable of solving problems with a large number of variables and constraints, even on low-power computers.
Therefore, linear programming can be a useful tool to support management in decision-making activities, helping both to reduce human effort and to provide quantitative results to optimization problems such as revenue maximization or cost minimization.
The chapter would like to analyze the decision-making process in transportation organizations seeking competitive advantage, illustrating through even some case studies how some choices turned out to be better than others.</jats:p>"
2026-06-30T13:25:46+00:00,exact_title_collision,"""C-D Observability Hierarchy"" ""Multi-Sector Speed Constants""",direct collision with the current title/framing,crossref,10.1016/j.neucom.2025.129715,A novel multi-level hierarchy optimization algorithm for pipeline inner detector speed control,2025,2025,Jinze Liu; Jian Feng; Huaguang Zhang; Shengxiang Yang,Neurocomputing,https://doi.org/10.1016/j.neucom.2025.129715,,none,,
2026-06-30T13:25:46+00:00,exact_title_collision,"""C-D Observability Hierarchy"" ""Multi-Sector Speed Constants""",direct collision with the current title/framing,crossref,10.1007/11871743_2,2. A Hierarchy of Constants,2006,2006,Markus Müller-Olm,Lecture Notes in Computer Science,https://doi.org/10.1007/11871743_2,,none,,
2026-06-30T13:25:46+00:00,exact_title_collision,"""C-D Observability Hierarchy"" ""Multi-Sector Speed Constants""",direct collision with the current title/framing,crossref,10.13033/isahp.y2014.149,Selection Of Chain-material In Automobile Sector Using Multi Attribute Decision Making Approach,2014,2014,Harwinder Singh; Raman Kumar,Proceedings of the International Symposium on the Analytic Hierarchy Process,https://doi.org/10.13033/isahp.y2014.149,,none,,
2026-06-30T13:25:46+00:00,exact_title_collision,"""C-D Observability Hierarchy"" ""Multi-Sector Speed Constants""",direct collision with the current title/framing,crossref,10.2174/9781681081793116010014,"Quantum Crtically, Dark Matter, Hierarchy of Planck Constants",2016,2016,,Topological Geometrodynamics,https://doi.org/10.2174/9781681081793116010014,,none,,
2026-06-30T13:25:46+00:00,exact_title_collision,"""C-D Observability Hierarchy"" ""Multi-Sector Speed Constants""",direct collision with the current title/framing,crossref,10.1007/979-8-8688-2827-0_8,Observability in Multi-Model Environments,2026,2026,Ankush Sharma,Observability for Large Language Models,https://doi.org/10.1007/979-8-8688-2827-0_8,,low,observability,
2026-06-30T13:25:46+00:00,exact_title_collision,"""C-D Observability Hierarchy"" ""Multi-Sector Speed Constants""",direct collision with the current title/framing,semantic_scholar,ERROR,Semantic Scholar query failed: HTTP Error 429: ,,,,,,,none,,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,arxiv,1606.08600v2,Limits on Lorentz invariance violation at the Planck energy scale from H.E.S.S. spectral analysis of the blazar Mrk 501,2016,2016-06-28,Matthias Lorentz; Pierre Brun,arXiv,https://arxiv.org/abs/1606.08600v2,,low,lorentz,"Some extensions to the Standard Model lead to the introduction of Lorentz symmetry breaking terms, expected to induce deviations from Lorentz symmetry around the Planck scale. A parameterization of effects due to Lorentz invariance violation (LIV) can be introduced by adding an effective term to the photon dispersion relation. This affects the kinematics of electron-positron pair creation by TeV $γ$ rays on the extragalactic background light (EBL) and translates into modifications of the standard EBL opacity for the TeV photon spectra of extragalactic sources. Exclusion limits are presented, obtained with the spectral analysis of H.E.S.S. observations taken on the blazar Mrk 501 during the exceptional 2014 flare. The energy spectrum, extending very significantly above 10 TeV, allows to place strong limits on LIV in the photon sector at the level of the Planck energy scale for linear perturbations in the photon dispersion relation, and provides the strongest constraints presently for the case of quadratic perturbations."
